id2,id,hanke_name,Lookup_Teema,Lookup_Maakunta,Toteuttaja,Lookup_Aluehallintovirasto,Kunta,link,Lookup_Vuosi,Kohderyhma,Lookup_Hanketyyppi,Lookup_Kieli,Lookup_Vaikutusalue,amount,lkm
779,1143,Tiäräkkö jo tabletin?,Laitehankinnat,Etelä-Pohjanmaa,Kauhavan kaupunginkirjasto,Länsi- ja Sisä-Suomi,Kauhava,hankkeet.kirjastot.fi/node/2397,2014,Kirjaston asiakkaat,ELY,suomenkielinen,kunnat,4500,1
780,1144,Tiedä paikkasi - lokaatiopalvelu HelMet kirjastossa,Verkkopalvelut,Uusimaa,Espoon kaupunginkirjasto - Sellon kirjasto,Etelä-Suomi,Espoo,hankkeet.kirjastot.fi/node/575,2012,Kirjaston asiakkaat,ELY,suomenkielinen,seutukunnat	,0,1
781,1145,"Tiedän miten markkinoin, viestin ja tiedotan",Palvelujen kehittäminen,Satakunta,Porin kaupunginkirjasto - Satakunnan maakuntakirjasto,Lounais-Suomi,Pori,hankkeet.kirjastot.fi/node/2416,2014,"Kirjaston asiakkaat, Kirjaston henkilökunta",ELY,suomenkielinen,maakunta	,45000,1
782,1146,Tiedon sillat Huittisten alueen kirjastoissa,Mediakasvatus,Satakunta,Huittisten kaupunginkirjasto,Lounais-Suomi,Huittinen,hankkeet.kirjastot.fi/node/517,2012,Ikääntyneet,ELY,suomenkielinen,kunnan- tai kaupunginosat	,7500,1
783,1147,Tiedonhakua tableteilla,Mediakasvatus,Pirkanmaa,Pirkkalan kunnankirjasto,Länsi- ja Sisä-Suomi,Pirkkala,hankkeet.kirjastot.fi/node/2445,2014,"Lapset (alle 13 v.), Nuoret (13-19  v.)",ELY,suomenkielinen,kunnan- tai kaupunginosat	,7000,1
784,1149,Tiedonhankinta osaksi oppimista yläluokilla,Mediakasvatus,Varsinais-Suomi,Someron kaupunginkirjasto,Lounais-Suomi,Somero,hankkeet.kirjastot.fi/node/714,2012,Nuoret (13-19  v.),ELY,suomenkielinen,kunnat,2500,1
785,1150,Tiedonhaun ja kirjaston käytön opetusta pintaa syvemmälle,Mediakasvatus,Lappi,Kolarin kunnankirjasto,Lappi,Kolari,hankkeet.kirjastot.fi/node/1534,2013,Kirjaston asiakkaat,ELY,suomenkielinen,kunnat,12000,1
786,1151,Tiedonhaun ja kirjastonkäytön opetuksen tehostaminen Kokemäen kirjastossa,Mediakasvatus,Satakunta,Kokemäen kaupunginkirjasto,Lounais-Suomi,Kokemäki,hankkeet.kirjastot.fi/node/1978,2014,Kirjaston asiakkaat,ELY,suomenkielinen,kunnat,1500,1
787,1152,Tiedonhaun opetuksen välineistö,Laitehankinnat,Kainuu,Kajaanin kaupunginkirjasto - Kainuun maakuntakirjasto,Pohjois-Suomi,Kajaani,hankkeet.kirjastot.fi/node/1085,2013,Kirjaston asiakkaat,ELY,suomenkielinen,kunnan- tai kaupunginosat	,3000,1
788,1153,Tiedonhaun taitajiksi,Mediakasvatus,Pohjois-Pohjanmaa,Ylivieskan kaupunginkirjasto,Pohjois-Suomi,Ylivieska,hankkeet.kirjastot.fi/node/453,2012,Nuoret (13-19  v.),ELY,suomenkielinen,kunnat,4000,1
